Account,LEI,MemberID,Member Mnemonic,Firmcode,Market Source,Settles In,Settlement Code,Settlement Type,Settlement Provider,Market Making,TradingNotesMember
Bank of Nova Scotia (London Branch),L3I9ZG2KFGXZ61BMYR72,NOSCGB22,BNSL,43,Off Book trading,CREST,AFQAQ,Settlement-Agent,BNP Paribas SA,False,
Barclays Bank Plc,G5GSEF7VJP5I7OUK5573,BARCGB71,BPLC,34,Order Book for Retail Bonds,CREST,034,Self-Settlement,Barclays Bank Plc,Yes,GEMM - IL GEMM
Barclays Bank Plc,G5GSEF7VJP5I7OUK5573,BARCGB71,BPLC,34,Off Book trading,CREST,034,Self-Settlement,Barclays Bank Plc,Yes,GEMM - IL GEMM
Barclays Bank Plc,G5GSEF7VJP5I7OUK5573,BARCGB71,BPLC,34,Off Book trading,CREST,19801,Self-Settlement,Barclays Bank Plc,Yes,GEMM - IL GEMM
Barclays Bank Plc,G5GSEF7VJP5I7OUK5573,BARKGB2L,BYSL,895,Off Book trading,CREST,14XKD,Settlement-Agent,Citibank N.A.,False,
Barclays Bank Plc,G5GSEF7VJP5I7OUK5573,BARKGB2L,BYSL,895,Off Book trading,CREST,19XHY,Settlement-Agent,Citibank N.A.,False,
Barclays Capital Securities Limited,K9WDOH4D2PYBSLSOB484,BARCGB91,BARC,198,Off Book trading,DTCC,2103,Self-Settlement,Barclays Capital Securities Limited,False,
Barclays Capital Securities Limited,K9WDOH4D2PYBSLSOB484,BARCGB91,BARC,198,Off Book trading,Euroclear Bank,21057,Self-Settlement,Barclays Capital Securities Limited,False,
Barclays Capital Securities Limited,K9WDOH4D2PYBSLSOB484,BARCGB91,BARC,198,Off Book trading,CREST,598,Self-Settlement,Barclays Capital Securities Limited,False,
Barclays Capital Securities Limited,K9WDOH4D2PYBSLSOB484,BARCGBN1,BCSI,198,Exchange Traded Funds – Euroclear Bank Settlement,Euroclear Bank,21057,Self-Settlement,Barclays Capital Securities Limited,Yes,Market Maker - UK Securities
Barclays Capital Securities Limited,K9WDOH4D2PYBSLSOB484,BARCGBN1,BCSI,198,International Order Book,Euroclear Bank,21057,Self-Settlement,Barclays Capital Securities Limited,Yes,Market Maker - UK Securities
Barclays Capital Securities Limited,K9WDOH4D2PYBSLSOB484,BARCGBN1,BCSI,198,SETS Order Book,CREST,598,Self-Settlement,Barclays Capital Securities Limited,Yes,Market Maker - UK Securities
Barclays Capital Securities Limited,K9WDOH4D2PYBSLSOB484,BARCGBN1,BCSI,198,Off Book trading,DTCC,2103,Self-Settlement,Barclays Capital Securities Limited,Yes,Market Maker - UK Securities
Barclays Capital Securities Limited,K9WDOH4D2PYBSLSOB484,BARCGBN1,BCSI,198,Off Book trading,Euroclear Bank,21057,Self-Settlement,Barclays Capital Securities Limited,Yes,Market Maker - UK Securities
Barclays Capital Securities Limited,K9WDOH4D2PYBSLSOB484,BARCGBN1,BCSI,198,Off Book trading,CREST,598,Self-Settlement,Barclays Capital Securities Limited,Yes,Market Maker - UK Securities
Barclays Investment Solutions Limited,549300ZL2JBI0IJS5732,BASBGB21,BACS,113,Off Book trading,CREST,LMUAG,Settlement-Agent,FNZ (UK) Ltd,False,
Barclays Investment Solutions Limited,549300ZL2JBI0IJS5732,GRMDGB21,GERD,312,Off Book trading,CREST,14XJD,Settlement-Agent,Citibank N.A.,False,
Barratt & Cooke,213800N3A2EZWGLPFW11,BCOKGB21,BACO,37,Off Book trading,CREST,037,Self-Settlement,Barratt & Cooke,False,
Bernstein Autonomous LLP,213800LBM6PT85IGM996,AUAUGB22,AUAU,899,Off Book trading,CREST,2CUAG,Settlement-Agent,Societe Generale,False,
Bernstein Autonomous LLP,213800LBM6PT85IGM996,AUAUGB22,AUAU,899,Off Book trading,Euroclear Bank,74696,Settlement-Agent,Societe Generale,False,
Bernstein Autonomous LLP,213800LBM6PT85IGM996,SCBUGB2L,SCBL,899,Exchange Traded Funds – Euroclear Bank Settlement,Euroclear Bank,74696,Settlement-Agent,Societe Generale,False,
Bernstein Autonomous LLP,213800LBM6PT85IGM996,SCBUGB2L,SCBL,899,International Order Book,Euroclear Bank,74696,Settlement-Agent,Societe Generale,False,
Bernstein Autonomous LLP,213800LBM6PT85IGM996,SCBUGB2L,SCBL,899,SETS Order Book,CREST,2CUAG,Settlement-Agent,Societe Generale,False,
Bernstein Autonomous LLP,213800LBM6PT85IGM996,SCBUGB2L,SCBL,899,Off Book trading,CREST,2CUAG,Settlement-Agent,Societe Generale,False,
BGC Brokers L.P.,ZWNFQ48RUL8VJZ2AIC12,BGCBGB21BND,BGCB,292,Off Book trading,CREST,BO025,Settlement-Agent,Banco Bilbao Vizcaya Argentaria S.A.,False,
BGC Brokers L.P.,ZWNFQ48RUL8VJZ2AIC12,BGCBGB21BND,BGCB,292,Off Book trading,CREST,HPUAG,Settlement-Agent,Deutsche Bank AG,False,
BGC Brokers L.P.,ZWNFQ48RUL8VJZ2AIC12,BGCBGB21BND,BGCB,292,Off Book trading,CREST,MPUAA,Settlement-Agent,Banco Bilbao Vizcaya Argentaria S.A.,False,
BGC Brokers L.P.,ZWNFQ48RUL8VJZ2AIC12,BGCBGB21IDB,BGCI,292,Off Book trading,CREST,HPUAG,Settlement-Agent,Deutsche Bank AG,False,GILT Inter Dealer Broker
BGC Brokers L.P.,ZWNFQ48RUL8VJZ2AIC12,MIEQGB21,MINT,126,Off Book trading,CREST,303,Settlement-Agent,Goldman Sachs International,False,
BMO Capital Markets Limited,L64HM9LHPDOS1B9HJC68,NETHGB21,BMCM,95,Exchange Traded Funds – Euroclear Bank Settlement,Euroclear Bank,78272,Settlement-Agent,BNP Paribas SA,Yes,Market Maker - UK Securities
BMO Capital Markets Limited,L64HM9LHPDOS1B9HJC68,NETHGB21,BMCM,95,International Order Book,Euroclear Bank,78272,Settlement-Agent,BNP Paribas SA,Yes,Market Maker - UK Securities
BMO Capital Markets Limited,L64HM9LHPDOS1B9HJC68,NETHGB21,BMCM,95,SETS Order Book,CREST,BIMAY,Self-Settlement,BMO Capital Markets Limited,Yes,Market Maker - UK Securities
BMO Capital Markets Limited,L64HM9LHPDOS1B9HJC68,NETHGB21,BMCM,95,Off Book trading,DTCC,2787,Settlement-Agent,BNP Paribas SA,Yes,Market Maker - UK Securities
BMO Capital Markets Limited,L64HM9LHPDOS1B9HJC68,NETHGB21,BMCM,95,Off Book trading,CREST,5NQAN,Self-Settlement,BMO Capital Markets Limited,Yes,Market Maker - UK Securities
BMO Capital Markets Limited,L64HM9LHPDOS1B9HJC68,NETHGB21,BMCM,95,Off Book trading,Euroclear Bank,78272,Settlement-Agent,BNP Paribas SA,Yes,Market Maker - UK Securities
BMO Capital Markets Limited,L64HM9LHPDOS1B9HJC68,NETHGB21,BMCM,95,Off Book trading,CREST,KGQAQ,Self-Settlement,BMO Capital Markets Limited,Yes,Market Maker - UK Securities
BNP Paribas,R0MUWSFPU8MPRO8K5P83,BNPAFRPP,BNPP,78,Off Book trading,CREST,77799,Settlement-Agent,BNP Paribas SA,Yes,GEMM - IL GEMM - ORB - OFIS
BNP Paribas Financial Markets,6EWKU0FGVX5QQJHFGT48,BNABFRPP,BNPA,206,Exchange Traded Funds – Euroclear Bank Settlement,Euroclear Bank,15024,Settlement-Agent,BNP Paribas SA,Yes,Market Maker - UK Securities
BNP Paribas Financial Markets,6EWKU0FGVX5QQJHFGT48,BNABFRPP,BNPA,206,International Order Book,Euroclear Bank,15024,Settlement-Agent,BNP Paribas SA,Yes,Market Maker - UK Securities
BNP Paribas Financial Markets,6EWKU0FGVX5QQJHFGT48,BNABFRPP,BNPA,206,SETS Order Book,CREST,ELKAV,Settlement-Agent,BNP Paribas SA,Yes,Market Maker - UK Securities
BNP Paribas Financial Markets,6EWKU0FGVX5QQJHFGT48,BNABFRPP,BNPA,206,Off Book trading,Euroclear Bank,15024,Self-Settlement,BNP Paribas Arbitrage SNC,Yes,Market Maker - UK Securities
BNP Paribas Financial Markets,6EWKU0FGVX5QQJHFGT48,BNABFRPP,BNPA,206,Off Book trading,CREST,ELKAV,Self-Settlement,BNP Paribas Arbitrage SNC,Yes,Market Maker - UK Securities
BNP Paribas Financial Markets,6EWKU0FGVX5QQJHFGT48,BNPFREMD,BNPF,206,Exchange Traded Funds – Euroclear Bank Settlement,Euroclear Bank,15024,Settlement-Agent,BNP Paribas SA,False,
BNP Paribas Financial Markets,6EWKU0FGVX5QQJHFGT48,BNPFREMD,BNPF,206,International Order Book,Euroclear Bank,15024,Settlement-Agent,BNP Paribas SA,False,
BNP Paribas Financial Markets,6EWKU0FGVX5QQJHFGT48,BNPFREMD,BNPF,206,SETS Order Book,CREST,ELKAV,Settlement-Agent,BNP Paribas SA,False,
BNP Paribas Financial Markets,6EWKU0FGVX5QQJHFGT48,BNPFREMD,BNPF,206,Off Book trading,Euroclear Bank,15024,Settlement-Agent,BNP Paribas SA,False,
BNP Paribas Financial Markets,6EWKU0FGVX5QQJHFGT48,BNPFREMD,BNPF,206,Off Book trading,CREST,ELKAV,Settlement-Agent,BNP Paribas SA,False,
Brewin Dolphin Limited,213800PLIGVGFM4K2R87,BRWDGB21,BRED,92,Off Book trading,DTCC,0901,Self-Settlement,Brewin Dolphin Limited,False,
Brewin Dolphin Limited,213800PLIGVGFM4K2R87,BRWDGB21,BRED,92,Off Book trading,CREST,09204,Self-Settlement,Brewin Dolphin Limited,False,
Brewin Dolphin Limited,213800PLIGVGFM4K2R87,BRWDGB21,BRED,92,Off Book trading,Euroclear Bank,94987,Self-Settlement,Brewin Dolphin Limited,False,
Brewin Dolphin Limited,213800PLIGVGFM4K2R87,BRWDGB21JER,BRWJ,92,Off Book trading,Euroclear Bank,76715,Self-Settlement,Brewin Dolphin Limited,False,
Brewin Dolphin Limited,213800PLIGVGFM4K2R87,BRWDGB21JER,BRWJ,92,Off Book trading,CREST,BDJ01,Self-Settlement,Brewin Dolphin Limited,False,
Brewin Dolphin Limited,213800PLIGVGFM4K2R87,BRWDGB2LBIC,BREW,92,Order Book for Retail Bonds,CREST,092,Self-Settlement,Brewin Dolphin Limited,False,
Brewin Dolphin Limited,213800PLIGVGFM4K2R87,BRWDGB2LBIC,BREW,92,Off Book trading,DTCC,0901,Self-Settlement,Brewin Dolphin Limited,False,
Brewin Dolphin Limited,213800PLIGVGFM4K2R87,BRWDGB2LBIC,BREW,92,Off Book trading,CREST,092,Self-Settlement,Brewin Dolphin Limited,False,
Brewin Dolphin Limited,213800PLIGVGFM4K2R87,BRWDGB2LBIC,BREW,92,Off Book trading,Euroclear Bank,94987,Self-Settlement,Brewin Dolphin Limited,False,
Britannia Global Investments Limited,213800RQDMXA2PCIY732,BRGVGB22,BGIL,724,Off Book trading,CREST,BO01,Settlement-Agent,Standard Chartered Bank,False,
Britannia Global Markets Limited,213800GWMSRCJYDTHO27,BEKFGB21,BKFL,783,Off Book trading,CREST,BO01,Settlement-Agent,Standard Chartered Bank,False,
Brooks Macdonald Asset Management Limited,213800A6KGK5GO17EZ17,BMAAGB2L,BMAA,4,Off Book trading,CREST,FFOAD,Self-Settlement,Brooks Macdonald Asset Management Limited,False,
Bryan Garnier & Company Limited,213800QFPP8QFI9PUP95,BRGAGB21,BYGA,104,Off Book trading,CREST,2CUAG,Settlement-Agent,Societe Generale,False,
BTIG Limited,213800YZXS7U4QZP6441,BTIGGB21,BTIG,171,Off Book trading,CREST,303,Settlement-Agent,Goldman Sachs International,False,
BTIG Limited,213800YZXS7U4QZP6441,BTIGGB21,BTIG,171,Off Book trading,DTCC,5208,Settlement-Agent,Goldman Sachs International,False,
BTIG Limited,213800YZXS7U4QZP6441,BTIGGB21,BTIG,171,Off Book trading,Euroclear Bank,94589,Settlement-Agent,Goldman Sachs International,False,
Canaccord Genuity Limited,ZBU7VFV5NIMN4ILRFC23,CSTEGB21,CANA,288,Order Book for Retail Bonds,CREST,805,Settlement-Agent,BNP Paribas SA,Yes,Market Maker - Fixed Interest - ORB - UK Domestic
Canaccord Genuity Limited,ZBU7VFV5NIMN4ILRFC23,CSTEGB21,CANA,288,SETS Order Book,CREST,805,Settlement-Agent,BNP Paribas SA,Yes,Market Maker - Fixed Interest - ORB - UK Domestic
Canaccord Genuity Limited,ZBU7VFV5NIMN4ILRFC23,CSTEGB21,CANA,288,Off Book trading,DTCC,2787,Settlement-Agent,BNP Paribas SA,Yes,Market Maker - Fixed Interest - ORB - UK Domestic
Canaccord Genuity Limited,ZBU7VFV5NIMN4ILRFC23,CSTEGB21,CANA,288,Off Book trading,Euroclear Bank,77317,Settlement-Agent,BNP Paribas SA,Yes,Market Maker - Fixed Interest - ORB - UK Domestic
Canaccord Genuity Limited,ZBU7VFV5NIMN4ILRFC23,CSTEGB21,CANA,288,Off Book trading,CREST,805,Settlement-Agent,BNP Paribas SA,Yes,Market Maker - Fixed Interest - ORB - UK Domestic
Canaccord Genuity Wealth Limited,213800LJU4K7L7CBFN57,EGRPGB21,EGRP,184,Off Book trading,DTCC,00010,Settlement-Agent,Canaccord Genuity Wealth (International) Limited,False,
Canaccord Genuity Wealth Limited,213800LJU4K7L7CBFN57,EGRPGB21,EGRP,184,Off Book trading,CREST,2RUAA,Settlement-Agent,Canaccord Genuity Wealth (International) Limited,False,
Canadian Imperial Bank of Commerce (London Branch),2IGI19DL77OX0HC3ZE78,CIBCGB2L,CIBC,977,Off Book trading,CREST,2GMAY,Settlement-Agent,BNP Paribas SA,False,
Canadian Imperial Bank of Commerce (London Branch),2IGI19DL77OX0HC3ZE78,CIBCGB2L,CIBC,977,Off Book trading,CREST,56XKK,Settlement-Agent,Euroclear Bank,False,
Cantor Fitzgerald Europe,549300KM6VUHPKQLQX53,CFEQGB21EPE,CFEP,635,Order Book for Retail Bonds,CREST,635,Self-Settlement,Cantor Fitzgerald Europe,Yes,Market Maker - UK Securities
Cantor Fitzgerald Europe,549300KM6VUHPKQLQX53,CFEQGB21EPE,CFEP,635,SETS Order Book,CREST,635,Self-Settlement,Cantor Fitzgerald Europe,Yes,Market Maker - UK Securities
Cantor Fitzgerald Europe,549300KM6VUHPKQLQX53,CFEQGB21EPE,CFEP,635,Off Book trading,Euroclear Bank,22707,Self-Settlement,Cantor Fitzgerald Europe,Yes,Market Maker - UK Securities
Cantor Fitzgerald Europe,549300KM6VUHPKQLQX53,CFEQGB21EPE,CFEP,635,Off Book trading,CREST,635,Self-Settlement,Cantor Fitzgerald Europe,Yes,Market Maker - UK Securities
Cantor Fitzgerald Europe,549300KM6VUHPKQLQX53,CFEQGB21EPE,CFEP,635,Off Book trading,DTCC,696,Self-Settlement,Cantor Fitzgerald Europe,Yes,Market Maker - UK Securities
Cantor Fitzgerald Europe,549300KM6VUHPKQLQX53,CFEQGB21EPE,CFEP,635,Off Book trading,CREST,FNMAY,Self-Settlement,Cantor Fitzgerald Europe,Yes,Market Maker - UK Securities
Cantor Fitzgerald Europe,549300KM6VUHPKQLQX53,CFEQGB21RET,CFER,663,SETS Order Book,CREST,663,Self-Settlement,Cantor Fitzgerald Europe,False,
Cantor Fitzgerald Europe,549300KM6VUHPKQLQX53,CFEQGB21RET,CFER,663,Off Book trading,Euroclear Bank,22707,Self-Settlement,Cantor Fitzgerald Europe,False,
Cantor Fitzgerald Europe,549300KM6VUHPKQLQX53,CFEQGB21RET,CFER,663,Off Book trading,CREST,663,Self-Settlement,Cantor Fitzgerald Europe,False,
Cantor Fitzgerald Europe,549300KM6VUHPKQLQX53,CFEQGB21RET,CFER,663,Off Book trading,DTCC,696,Self-Settlement,Cantor Fitzgerald Europe,False,
Cantor Fitzgerald Ireland Limited,635400N5XVNTLTWTUK34,BUTBIE21,B&BE,114,Off Book trading,CREST,114,Model-B,Pershing Securities Limited,False,
Cantor Fitzgerald Ireland Limited,635400N5XVNTLTWTUK34,BUTBIE2DSET,DSLD,114,Off Book trading,DTCC,010,Model-B,Pershing Securities Limited,False,
Cantor Fitzgerald Ireland Limited,635400N5XVNTLTWTUK34,BUTBIE2DSET,DSLD,114,Off Book trading,Euroclear Bank,82701,Model-B,Pershing Securities Limited,False,
Cantor Fitzgerald Ireland Limited,635400N5XVNTLTWTUK34,DOLMIE21,DLMS,114,SETS Order Book,CREST,KPKAV,Model-B,Pershing Securities Limited,False,
Cantor Fitzgerald Ireland Limited,635400N5XVNTLTWTUK34,DOLMIE21,DLMS,114,Off Book trading,CREST,KPKAV,Model-B,Pershing Securities Limited,False,
Cavendish Securities Plc,213800ALVRC52VN3I821,CNKOGB21,CNKS,678,Order Book for Retail Bonds,CREST,ABOAD,Self-Settlement,Cenkos Securities Plc,Yes,Market Maker - UK Securities
Cavendish Securities Plc,213800ALVRC52VN3I821,CNKOGB21,CNKS,678,SETS Order Book,CREST,ABOAD,Self-Settlement,Cenkos Securities Plc,Yes,Market Maker - UK Securities
Cavendish Securities Plc,213800ALVRC52VN3I821,CNKOGB21,CNKS,678,Off Book trading,CREST,ABOAD,Self-Settlement,Cenkos Securities Plc,Yes,Market Maker - UK Securities
Cavendish Securities Plc,213800ALVRC52VN3I821,CNKOGB21001,CNKB,678,Order Book for Retail Bonds,CREST,601,Model-B,Pershing Securities Limited,False,
Cavendish Securities Plc,213800ALVRC52VN3I821,CNKOGB21001,CNKB,678,SETS Order Book,CREST,601,Model-B,Pershing Securities Limited,False,
Cavendish Securities Plc,213800ALVRC52VN3I821,CNKOGB21001,CNKB,678,Off Book trading,CREST,601,Model-B,Pershing Securities Limited,False,
Charles Stanley & Company Limited,213800R62RPGBBLQRT21,CSTAGB21,STAN,698,International Order Book,Euroclear Bank,90998,Self-Settlement,Charles Stanley & Company Limited,False,
Charles Stanley & Company Limited,213800R62RPGBBLQRT21,CSTAGB21,STAN,698,Order Book for Retail Bonds,CREST,698,Self-Settlement,Charles Stanley & Company Limited,False,
Charles Stanley & Company Limited,213800R62RPGBBLQRT21,CSTAGB21,STAN,698,SETS Order Book,CREST,698,Self-Settlement,Charles Stanley & Company Limited,False,
Charles Stanley & Company Limited,213800R62RPGBBLQRT21,CSTAGB21,STAN,698,Off Book trading,CREST,698,Self-Settlement,Charles Stanley & Company Limited,False,
Charles Stanley & Company Limited,213800R62RPGBBLQRT21,CSTAGB21,STAN,698,Off Book trading,Euroclear Bank,90998,Self-Settlement,Charles Stanley & Company Limited,False,
China International Capital Corporation (UK) Limited,213800STG3UV87MDGA96,CICRGB21,CICR,645,Off Book trading,CREST,GRQAN,Settlement-Agent,BNP Paribas SA,False,
Citadel Securities (Europe) Limited,549300WTVI4KO4GEJN54,CITGUS44DGE,CDGE,61,Exchange Traded Funds – Euroclear Bank Settlement,Euroclear Bank,91805,Settlement-Agent,Merrill Lynch International,False,
Citadel Securities (Europe) Limited,549300WTVI4KO4GEJN54,CITGUS44DGE,CDGE,61,International Order Book,Euroclear Bank,91805,Settlement-Agent,Merrill Lynch International,False,
Citadel Securities (Europe) Limited,549300WTVI4KO4GEJN54,CITGUS44DGE,CDGE,61,SETS Order Book,CREST,FNMAY,Settlement-Agent,Merrill Lynch International,False,
